"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","VSWR(1) []"
2.625,0.625,50,1.8,1.24578557416962
2.625,0.625,60,1.8,1.23107182546756
2.625,0.625,70,1.8,1.23603628277515
2.625,0.625,80,1.8,1.2479519577715
2.625,0.625,90,1.8,1.25594243414625
2.625,0.625,100,1.8,1.26425516977087
2.625,1.625,10,1.8,1.11007058567304
2.625,1.625,20,1.8,1.12461217887139
2.625,1.625,30,1.8,1.10360967968983
2.625,1.625,40,1.8,1.09488879997066
2.625,1.625,50,1.8,1.09767063068696
2.625,1.625,60,1.8,1.09755131282347
2.625,1.625,70,1.8,1.08466695556459
2.625,1.625,80,1.8,1.09656787311232
2.625,1.625,90,1.8,1.10583142065308
2.625,1.625,100,1.8,1.11736377094373
2.625,2.625,10,1.8,1.07817374105705
2.625,2.625,20,1.8,1.06282636890973
2.625,2.625,30,1.8,1.0634919511611
2.625,2.625,40,1.8,1.04862911376964
2.625,2.625,50,1.8,1.19152834580127
2.625,2.625,60,1.8,1.05778542215674
2.625,2.625,70,1.8,1.05859523008684
2.625,2.625,80,1.8,1.0755769513545
2.625,2.625,90,1.8,1.07525337563825
2.625,2.625,100,1.8,1.08461062772535
2.625,3.625,10,1.8,1.06222630524658
2.625,3.625,20,1.8,1.05750081843914
2.625,3.625,30,1.8,1.0509524627059
2.625,3.625,40,1.8,1.04773699401783
2.625,3.625,50,1.8,1.04638533846009
2.625,3.625,60,1.8,1.03918956495153
2.625,3.625,70,1.8,1.04565098372366
2.625,3.625,80,1.8,1.06019687971076
2.625,3.625,90,1.8,1.12946330144615
2.625,3.625,100,1.8,1.06586903478264
2.625,4.625,10,1.8,1.06617031928112
2.625,4.625,20,1.8,1.06360177406829
2.625,4.625,30,1.8,1.05074217648459
2.625,4.625,40,1.8,1.04202379040448
2.625,4.625,50,1.8,1.04382085619969
2.625,4.625,60,1.8,1.04460937741349
2.625,4.625,70,1.8,1.05032519725504
2.625,4.625,80,1.8,1.06521246263924
2.625,4.625,90,1.8,1.06387287486599
2.625,4.625,100,1.8,1.0606870465519
2.625,5.625,10,1.8,1.06112431874562
2.625,5.625,20,1.8,1.07920926276797
2.625,5.625,30,1.8,1.04792344873543
2.625,5.625,40,1.8,1.04475967619259
2.625,5.625,50,1.8,1.04438876126801
2.625,5.625,60,1.8,1.04406513746529
2.625,5.625,70,1.8,1.0458219511534
2.625,5.625,80,1.8,1.04663128903688
2.625,5.625,90,1.8,1.06631745094096
2.625,5.625,100,1.8,1.11394110344912
3.625,-0.4,10,1.8,3.56735960379201
3.625,-0.4,20,1.8,3.38293898266874
3.625,-0.4,30,1.8,287.937202408258
3.625,-0.4,40,1.8,3.37495010720018
3.625,-0.4,50,1.8,3.38127739612913
3.625,-0.4,60,1.8,3.37955612821251
3.625,-0.4,70,1.8,3.35029659797168
3.625,-0.4,80,1.8,3.36723230862064
3.625,-0.4,90,1.8,3.38833257470296
3.625,-0.4,100,1.8,3.39101332357112
3.625,-0.375,10,1.8,2.90049075869647
3.625,-0.375,20,1.8,2.86900236721343
3.625,-0.375,30,1.8,2.85131922177915
3.625,-0.375,40,1.8,2.84209075222571
3.625,-0.375,50,1.8,2.83077019597242
3.625,-0.375,60,1.8,2.8153541582848
3.625,-0.375,70,1.8,2.79663927280666
3.625,-0.375,80,1.8,2.86286170314537
3.625,-0.375,90,1.8,2.86679094282272
3.625,-0.375,100,1.8,2.94425560418667
3.625,0.625,10,1.8,1.23105518966509
3.625,0.625,20,1.8,1.22452983816973
3.625,0.625,30,1.8,1.22141831251145
3.625,0.625,40,1.8,1.22417308753534
3.625,0.625,50,1.8,1.21089230464535
3.625,0.625,60,1.8,1.20487233347721
3.625,0.625,70,1.8,1.20792725065431
3.625,0.625,80,1.8,1.2126647975556
3.625,0.625,90,1.8,1.22302339993073
3.625,0.625,100,1.8,1.23984517194847
3.625,1.625,10,1.8,1.08508543284115
3.625,1.625,20,1.8,1.08146779353608
3.625,1.625,30,1.8,1.0808025561313
3.625,1.625,40,1.8,1.06203824921496
3.625,1.625,50,1.8,1.06472610538921
3.625,1.625,60,1.8,1.06486326523431
3.625,1.625,70,1.8,1.06217750601903
3.625,1.625,80,1.8,1.13761218937964
3.625,1.625,90,1.8,1.08038829818036
3.625,1.625,100,1.8,1.10938174398057
3.625,2.625,10,1.8,1.03826052680969
3.625,2.625,20,1.8,1.05008229049539
3.625,2.625,30,1.8,1.03947627435461
3.625,2.625,40,1.8,1.0313251460414
3.625,2.625,50,1.8,1.01477194277832
3.625,2.625,60,1.8,1.01462399330265
3.625,2.625,70,1.8,1.02330197005025
3.625,2.625,80,1.8,1.03889102134187
3.625,2.625,90,1.8,1.04176800192176
3.625,2.625,100,1.8,1.02918374959336
3.625,3.625,10,1.8,1.03185494418941
3.625,3.625,20,1.8,1.02028307701342
3.625,3.625,30,1.8,1.01924233808734
3.625,3.625,40,1.8,1.01105408112345
3.625,3.625,50,1.8,1.01222025224566
3.625,3.625,60,1.8,1.01526491143138
3.625,3.625,70,1.8,1.01877308775332
3.625,3.625,80,1.8,1.03312497692246
3.625,3.625,90,1.8,1.03369869463736
3.625,3.625,100,1.8,1.03297711348688
3.625,4.625,10,1.8,1.03031411844974
3.625,4.625,20,1.8,1.01813045513184
3.625,4.625,30,1.8,1.01564750577093
3.625,4.625,40,1.8,1.01059607933886
3.625,4.625,50,1.8,1.01155396066488
3.625,4.625,60,1.8,1.00704487045866
3.625,4.625,70,1.8,1.02035472378894
3.625,4.625,80,1.8,1.02799603626571
3.625,4.625,90,1.8,1.01913459614527
3.625,4.625,100,1.8,1.01752284724223
3.625,5.625,10,1.8,1.07115224569284
3.625,5.625,20,1.8,1.02282328450581
3.625,5.625,30,1.8,1.07420306777246
3.625,5.625,40,1.8,1.01088104746535
3.625,5.625,50,1.8,1.00339724327788
3.625,5.625,60,1.8,1.01092428095399
3.625,5.625,70,1.8,1.01612585226134
3.625,5.625,80,1.8,1.02491456119498
3.625,5.625,90,1.8,1.0112373251271
3.625,5.625,100,1.8,1.05101680153472
4.625,-0.4,10,1.8,3.53139482346301
4.625,-0.4,20,1.8,3.6480065750962
4.625,-0.4,30,1.8,3.5021627681404
4.625,-0.4,40,1.8,3.47182342099785
4.625,-0.4,50,1.8,3.48547860768099
4.625,-0.4,60,1.8,3.46032067873146
4.625,-0.4,70,1.8,3.47196605913961
4.625,-0.4,80,1.8,3.49801938388377
4.625,-0.4,90,1.8,3.51604481014406
4.625,-0.4,100,1.8,3.5298795051176
4.625,-0.375,10,1.8,2.93817907067046
4.625,-0.375,20,1.8,2.95333211156855
4.625,-0.375,30,1.8,2.93548563077003
4.625,-0.375,40,1.8,2.90213174560774
4.625,-0.375,50,1.8,2.9142202516002
4.625,-0.375,60,1.8,2.88644010392676
4.625,-0.375,70,1.8,2.84203703291724
4.625,-0.375,80,1.8,2.91749494783191
4.625,-0.375,90,1.8,2.92400007362308
4.625,-0.375,100,1.8,2.99527025835325
4.625,0.625,10,1.8,1.22888464992987
4.625,0.625,20,1.8,1.22652459811955
4.625,0.625,30,1.8,1.22229942918687
4.625,0.625,40,1.8,1.21265046534941
4.625,0.625,50,1.8,1.19917231549643
4.625,0.625,60,1.8,1.19881997741547
4.625,0.625,70,1.8,1.21393509309875
4.625,0.625,80,1.8,1.21195122570059
4.625,0.625,90,1.8,1.22097153898374
4.625,0.625,100,1.8,1.22383778764711
4.625,1.625,10,1.8,1.07274350825555
4.625,1.625,20,1.8,1.07354126611989
4.625,1.625,30,1.8,1.07547431080327
4.625,1.625,40,1.8,1.06359458829099
4.625,1.625,50,1.8,1.05344830766892
4.625,1.625,60,1.8,1.06082657839159
4.625,1.625,70,1.8,1.06268874284029
4.625,1.625,80,1.8,1.06714008150034
4.625,1.625,90,1.8,1.07290080595911
4.625,1.625,100,1.8,1.07241640903909
4.625,2.625,10,1.8,1.06924940329398
4.625,2.625,20,1.8,1.03310819727573
4.625,2.625,30,1.8,1.03981331281627
4.625,2.625,40,1.8,1.02164016597287
4.625,2.625,50,1.8,1.00666202729989
4.625,2.625,60,1.8,1.01547833804511
4.625,2.625,70,1.8,1.01713264414072
4.625,2.625,80,1.8,1.02132637128084
4.625,2.625,90,1.8,1.02870965309917
4.625,2.625,100,1.8,1.0314582172112
4.625,3.625,10,1.8,1.01705332262064
4.625,3.625,20,1.8,1.02057386710029
4.625,3.625,30,1.8,1.01396360184561
4.625,3.625,40,1.8,1.00905941375433
4.625,3.625,50,1.8,1.00299176606615
4.625,3.625,60,1.8,1.01231192784937
4.625,3.625,70,1.8,1.00370021170095
4.625,3.625,80,1.8,1.01151987663454
4.625,3.625,90,1.8,1.02484931469365
4.625,3.625,100,1.8,1.03784418842133
4.625,4.625,10,1.8,1.01970004060321
4.625,4.625,20,1.8,1.04081353403208
4.625,4.625,30,1.8,1.02308772559332
4.625,4.625,40,1.8,1.00439436613837
4.625,4.625,50,1.8,1.01800842383855
