"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","S(1,1) []"
1.625,4.625,80,1.8,-0.0536619810363269 + 0.0535056649561626i
1.625,4.625,90,1.8,-0.0857172301312517 + 0.0194354527025831i
1.625,4.625,100,1.8,-0.0758328421436921 - 0.0424918073680644i
1.625,5.625,10,1.8,-0.0834943004514723 + 0.00159460185308569i
1.625,5.625,20,1.8,-0.0690037422173135 - 0.0458075446776653i
1.625,5.625,30,1.8,-0.00974613246754252 - 0.0780911581409334i
1.625,5.625,40,1.8,0.0453090180735438 - 0.0586108277811819i
1.625,5.625,50,1.8,0.0769650463865055 - 0.0107885366616396i
1.625,5.625,60,1.8,0.0613500910445794 + 0.0491934354586036i
1.625,5.625,70,1.8,0.00590485768327898 + 0.0741376046994778i
1.625,5.625,80,1.8,-0.0662025651760931 + 0.069439224537574i
1.625,5.625,90,1.8,-0.0837847219197223 + 0.0147015541093722i
1.625,5.625,100,1.8,-0.0711583007082065 - 0.0476325264062171i
2.625,-0.4,10,1.8,-0.224437940268571 + 0.503456882423335i
2.625,-0.4,20,1.8,-0.505200243008497 + 0.212353853886588i
2.625,-0.4,30,1.8,-0.517617121603696 - 0.185278765344584i
2.625,-0.4,40,1.8,-0.251271287975971 - 0.484709154304656i
2.625,-0.4,50,1.8,0.157004896500974 - 0.521002741168241i
2.625,-0.4,60,1.8,0.473252904904593 - 0.268467518962411i
2.625,-0.4,70,1.8,0.530659647891655 + 0.130045677076848i
2.625,-0.4,80,1.8,0.292906177921289 + 0.462420146941009i
2.625,-0.4,90,1.8,-0.100954741089462 + 0.542567052015881i
2.625,-0.4,100,1.8,-0.443085968047114 + 0.322560149100387i
2.625,-0.375,10,1.8,-0.231403284257459 + 0.429123378234759i
2.625,-0.375,20,1.8,-0.460287786330646 + 0.159695934954065i
2.625,-0.375,30,1.8,-0.442268718341171 - 0.19657136220166i
2.625,-0.375,40,1.8,-0.187411679453014 - 0.444966639290603i
2.625,-0.375,50,1.8,0.171148939677008 - 0.450236487170621i
2.625,-0.375,60,1.8,0.432727101929545 - 0.204012982267323i
2.625,-0.375,70,1.8,0.457515394471532 + 0.147274234980866i
2.625,-0.375,80,1.8,0.229894371817565 + 0.425865941822625i
2.625,-0.375,90,1.8,-0.125266755785368 + 0.47250328757965i
2.625,-0.375,100,1.8,-0.424128843144385 + 0.265495526647441i
2.625,0.625,10,1.8,-0.0908571888591044 + 0.0736323789881662i
2.625,0.625,20,1.8,-0.116315744875465 - 0.0133598364726319i
2.625,0.625,30,1.8,-0.0813485445939914 - 0.0841274503283397i
2.625,0.625,40,1.8,-0.00335597860037595 - 0.109605272426963i
2.625,0.625,50,1.8,0.077337419377234 - 0.07743836264732i
2.625,0.625,60,1.8,0.103561076687361 - 0.00134980541729521i
2.625,0.625,70,1.8,0.077281332867954 + 0.0719064449978009i
2.625,0.625,80,1.8,0.00352166172648993 + 0.110245037311111i
2.625,0.625,90,1.8,-0.073297991510585 + 0.0865961129791736i
2.625,0.625,100,1.8,-0.115520272373763 + 0.0166032218610301i
2.625,1.625,10,1.8,-0.0481782561751001 + 0.0199995307208659i
2.625,1.625,20,1.8,-0.0571078930281055 - 0.0133683929758001i
2.625,1.625,30,1.8,-0.0280491368735979 - 0.0404861909514453i
2.625,1.625,40,1.8,0.00483942029377538 - 0.0450361203955226i
2.625,1.625,50,1.8,0.0396652658537957 - 0.02438518579691i
2.625,1.625,60,1.8,0.0451744567695323 + 0.0110540222080411i
2.625,1.625,70,1.8,0.0186162366756275 + 0.0360963169743988i
2.625,1.625,80,1.8,-0.0116858827230709 + 0.0445529106817281i
2.625,1.625,90,1.8,-0.0406921713179338 + 0.0294932000765291i
2.625,1.625,100,1.8,-0.0547523430624537 - 0.00863577855169345i
2.625,2.625,10,1.8,-0.0373803990567542 + 0.00420845927277396i
2.625,2.625,20,1.8,-0.028305171488943 - 0.0112433373881069i
2.625,2.625,30,1.8,-0.0125452256731069 - 0.0280955446295594i
2.625,2.625,40,1.8,-0.00576120835029181 - 0.0230276418793909i
2.625,2.625,50,1.8,-0.0873944625993425 - 0.000268477425887341i
2.625,2.625,60,1.8,0.024115741144155 + 0.0143872878547951i
2.625,2.625,70,1.8,0.00467790944830093 + 0.0280766662606225i
2.625,2.625,80,1.8,-0.0206823936621823 + 0.0299684658533661i
2.625,2.625,90,1.8,-0.0340220104594002 + 0.0125480771626185i
2.625,2.625,100,1.8,-0.0404346506621416 - 0.00352737213503393i
2.625,3.625,10,1.8,-0.030169633485937 + 0.00053258386646957i
2.625,3.625,20,1.8,-0.0231661295104527 - 0.0156320500655827i
2.625,3.625,30,1.8,-0.00652138139542768 - 0.0239721087292546i
2.625,3.625,40,1.8,0.0110326636978957 - 0.0205361406574969i
2.625,3.625,50,1.8,0.0223821641511779 - 0.00358188341668247i
2.625,3.625,60,1.8,0.0110736166356273 + 0.0157071465600365i
2.625,3.625,70,1.8,0.00239643018281521 + 0.0221870713599309i
2.625,3.625,80,1.8,-0.0198160660670225 + 0.0214726132601306i
2.625,3.625,90,1.8,-0.0607910940730637 + 0.000788812397294694i
2.625,3.625,100,1.8,-0.0278257069110208 - 0.0155674736867291i
2.625,4.625,10,1.8,-0.0286914457051244 + 0.0142281139626308i
2.625,4.625,20,1.8,-0.0246558355809794 - 0.0184934850833554i
2.625,4.625,30,1.8,-0.00410865651606307 - 0.0243998152636729i
2.625,4.625,40,1.8,0.00883675877772427 - 0.0185856596545443i
2.625,4.625,50,1.8,0.0213435179464572 - 0.00203860091046103i
2.625,4.625,60,1.8,0.0165590093460697 + 0.0142065567475372i
2.625,4.625,70,1.8,-0.00386399053205866 + 0.0242389308981406i
2.625,4.625,80,1.8,-0.0228733475854717 + 0.0217691048250134i
